 [-6.39650679e+00  3.66160703e+00]
 [-6.11103058e+00  3.64409828e+00]
 [-5.82610941e+00  3.62740898e+00]
 [-5.54106903e+00  3.79574537e+00]
 [-5.25533295e+00  4.00217342e+00]
 [-4.96713400e+00  4.57202339e+00]
 [-4.67976570e+00  4.98003721e+00]
 [-4.39413977e+00  5.10228968e+00]
 [-4.11030626e+00  4.91131115e+00]
 [-3.82710624e+00  4.58986616e+00]
 [-3.54203367e+00  4.54374361e+00]
 [-3.25774765e+00  4.41699839e+00]
 [-2.97167873e+00  4.72319889e+00]
 [-2.68568087e+00  5.07863045e+00]
 [-2.40111470e+00  5.16938925e+00]
 [-2.11876321e+00  4.85989475e+00]
 [-1.83655846e+00  4.51142359e+00]
 [-1.55410779e+00  4.32406712e+00]
 [-1.26906478e+00  4.59540939e+00]
 [-9.82966959e-01  4.94374275e+00]
 [-6.98017955e-01  4.98764849e+00]
 [-4.13827419e-01  4.90497446e+00]
 [-1.27633661e-01  5.19777489e+00]
 [ 1.58467323e-01  5.55902243e+00]
 [ 4.45564896e-01  6.20450163e+00]
 [ 7.31227100e-01  6.58874941e+00]
 [ 1.01664066e+00  6.87432814e+00]
 [ 1.30117059e+00  7.02991581e+00]
 [ 1.58553410e+00  7.15736628e+00]
 [ 1.86711037e+00  6.82879877e+00]
 [ 2.14905024e+00  6.49563980e+00]
 [ 2.43011522e+00  5.99317169e+00]
 [ 2.70813489e+00  5.02575827e+00]
 [ 2.98788571e+00  4.23074913e+00]
 [ 3.26765466e+00  3.61855316e+00]
 [ 3.54724813e+00  2.76770353e+00]
 [ 3.82627702e+00  2.03028965e+00]
 [ 4.12379265e+00  3.61694217e+00]
 [ 4.40462589e+00  3.20820498e+00]
 [ 4.68590641e+00  2.74039769e+00]
 [ 4.97933102e+00  2.34015512e+00]
 [ 5.27097034e+00  1.60080278e+00]
 [ 5.55943155e+00  1.58472419e-01]
 [ 5.84595776e+00 -1.80590940e+00]
 [ 6.13442612e+00 -3.46148062e+00]
 [ 6.42875814e+00 -4.06488276e+00]
 [ 6.72707987e+00 -3.94995475e+00]
 [ 7.02682209e+00 -3.54886436e+00]
 [ 7.32445812e+00 -3.48126554e+00]
 [ 7.62130117e+00 -3.52492189e+00]
 [ 7.91635036e+00 -3.90087295e+00]
 [ 8.21114349e+00 -4.31433249e+00]
 [ 8.50586987e+00 -4.74040937e+00]
 [ 8.80188465e+00 -4.98985958e+00]
 [ 9.10071754e+00 -4.73446751e+00]
 [ 9.40102673e+00 -4.25452375e+00]
 [ 9.69955349e+00 -4.08812475e+00]
 [ 9.99470139e+00 -4.54384375e+00]
 [ 1.02915745e+01 -4.65353823e+00]
 [ 1.05893488e+01 -4.57009411e+00]
 [ 1.08867569e+01 -4.48978806e+00]
 [ 1.11843481e+01 -4.39291096e+00]
 [ 1.14836206e+01 -4.05246067e+00]
 [ 1.17816944e+01 -3.96776867e+00]
 [ 1.20791101e+01 -4.01602268e+00]
 [ 1.23764095e+01 -4.08665323e+00]
 [ 1.26744146e+01 -4.05187798e+00]
 [ 1.29713593e+01 -4.18829918e+00]
 [ 1.32663870e+01 -4.59652138e+00]
 [ 1.35615263e+01 -4.95413256e+00]
 [ 1.38566122e+01 -5.28032970e+00]
 [ 1.41518068e+01 -5.59653282e+00]
 [ 1.44466667e+01 -5.85723591e+00]
 [ 1.47426682e+01 -5.85575962e+00]
 [ 1.50389004e+01 -5.84450960e+00]
 [ 1.53362980e+01 -5.63456488e+00]
 [ 1.56341333e+01 -5.31101465e+00]
 [ 1.59336891e+01 -4.60643625e+00]
 [ 1.62331944e+01 -3.87556171e+00]
 [ 1.65323868e+01 -3.15681410e+00]
 [ 1.68316536e+01 -2.53291488e+00]
 [ 1.71299267e+01 -2.13334012e+00]
 [ 1.74280758e+01 -1.77506709e+00]
 [ 1.77255173e+01 -1.37681997e+00]
 [ 1.80237312e+01 -9.39105570e-01]
 [ 1.83244591e+01 -1.19031459e-01]
 [ 1.86267662e+01  8.91970694e-01]
 [ 1.89308453e+01  2.11630630e+00]
 [ 1.92327213e+01  2.92423773e+00]
 [ 1.95337677e+01  3.51757598e+00]
 [ 1.98320408e+01  3.49999523e+00]
 [ 2.01297607e+01  3.48323250e+00]
 [ 2.04274998e+01  3.65149927e+00]
 [ 2.07260361e+01  3.85785532e+00]
